"EventID";"Filename";"Index_In_File";"X";"Y"
"13367";"Snail1_Ice_10_Nuc_processed";"3767";"-2805.6055";"-32373.28"
"99751";"Snail3_NoBact_5_Nuc_processed";"5152";"3941.231";"5738.7827"
"152466";"Snail5_Ice_14_Nuc_processed";"205";"-9007.749";"5855.86"
"102009";"Snail3_NoBact_5_Nuc_processed";"7410";"-4272.18";"-4981.495"
"156472";"Snail5_Ice_14_Nuc_processed";"4211";"-2065.1426";"-3857.321"
"65181";"Snail2_NoBact_4_Nuc_processed";"7562";"-3018.7534";"-30413.988"
"131232";"Snail4_NoBact_6_Nuc_processed";"8451";"-1100.081";"-21772.172"
"66954";"Snail2_NoBact_4_Nuc_processed";"9335";"328.6989";"2549.7537"
"128239";"Snail4_NoBact_6_Nuc_processed";"5458";"7870.631";"2038.468"
"172935";"Snail5_Phago_20_Nuc_processed";"1021";"-2441.709";"9953.963"
"99249";"Snail3_NoBact_5_Nuc_processed";"4650";"-4263.7944";"-3077.945"
"163900";"Snail5_NoBact_7_Nuc_processed";"1948";"-2203.6353";"-3939.1216"
"129550";"Snail4_NoBact_6_Nuc_processed";"6769";"-4984.458";"3099.8384"
"176010";"Snail5_Phago_20_Nuc_processed";"4096";"-5732.1465";"1295.4581"
"6038";"Snail1_EDTA_22_Nuc_processed";"6038";"-3412.4587";"-9309.75"
"124052";"Snail4_NoBact_6_Nuc_processed";"1271";"5991.812";"-7591.473"
"93005";"Snail3_Ice_12_Nuc_processed";"7148";"-670.56024";"-4318.5684"
"133622";"Snail4_Phago_19_Nuc_processed";"1055";"-3325.97";"-1282.9396"
"155524";"Snail5_Ice_14_Nuc_processed";"3263";"6122.201";"-5228.396"
"19991";"Snail1_NoBact_3_Nuc_processed";"880";"2094.7388";"-2305.5376"
"181495";"Snail5_Phago_20_Nuc_processed";"9581";"4520.4736";"8645.913"
"89936";"Snail3_Ice_12_Nuc_processed";"4079";"-3250.2322";"-4591.737"
"57387";"Snail2_Ice_11_Nuc_processed";"8998";"-2372.1548";"-2960.714"
"75111";"Snail2_Phago_17_Nuc_processed";"7871";"3690.5547";"8579.468"
"12993";"Snail1_Ice_10_Nuc_processed";"3393";"-796.4414";"-3847.444"
"45995";"Snail2_EDTA_23_Nuc_processed";"7286";"-2886.4353";"3244.2769"
"30913";"Snail1_Phago_16_Nuc_processed";"1950";"-3041.2615";"-1788.6471"
"145513";"Snail5_EDTA_26_Nuc_processed";"2979";"-472.14328";"-3188.5374"
"169676";"Snail5_NoBact_7_Nuc_processed";"7724";"-3441.0234";"3128.7654"
"46322";"Snail2_EDTA_23_Nuc_processed";"7613";"2839.59";"-2698.685"
"77308";"Snail3_EDTA_24_Nuc_processed";"519";"5355.5405";"8419.513"
"104128";"Snail4_EDTA_25_Nuc_processed";"600";"-3273.1694";"-2022.2455"
"105955";"Snail4_EDTA_25_Nuc_processed";"2427";"-586.9094";"-2191.56"
"135610";"Snail4_Phago_19_Nuc_processed";"3043";"-1542.9751";"9821.518"
"29010";"Snail1_Phago_16_Nuc_processed";"47";"-2530.811";"-227.76895"
"91771";"Snail3_Ice_12_Nuc_processed";"5914";"-2448.9702";"-5100.0024"
"100099";"Snail3_NoBact_5_Nuc_processed";"5500";"-2652.7124";"-27779.885"
"130809";"Snail4_NoBact_6_Nuc_processed";"8028";"-4149.694";"9811.672"
"91851";"Snail3_Ice_12_Nuc_processed";"5994";"-4141.295";"50.361946"
"129431";"Snail4_NoBact_6_Nuc_processed";"6650";"4000.6355";"6776.6694"
"26247";"Snail1_NoBact_3_Nuc_processed";"7136";"-5785.963";"-2391.9775"
"43891";"Snail2_EDTA_23_Nuc_processed";"5182";"71.16297";"1517.001"
"106486";"Snail4_EDTA_25_Nuc_processed";"2958";"1698.5992";"-55.22235"
"128348";"Snail4_NoBact_6_Nuc_processed";"5567";"-2544.0693";"3968.0222"
"87683";"Snail3_Ice_12_Nuc_processed";"1826";"5566.4604";"-2722.6912"
"7092";"Snail1_EDTA_22_Nuc_processed";"7092";"-917.4502";"1680.6278"
"130117";"Snail4_NoBact_6_Nuc_processed";"7336";"-2823.8828";"3784.6433"
"86664";"Snail3_Ice_12_Nuc_processed";"807";"-5082.985";"-3792.2058"
"34487";"Snail1_Phago_16_Nuc_processed";"5524";"-1312.6107";"7373.5757"
"155142";"Snail5_Ice_14_Nuc_processed";"2881";"-2690.5044";"-29853.69"
"144304";"Snail5_EDTA_26_Nuc_processed";"1770";"4875.3877";"8374.861"
"107052";"Snail4_EDTA_25_Nuc_processed";"3524";"-1389.2206";"1266.433"
"144514";"Snail5_EDTA_26_Nuc_processed";"1980";"1270.9137";"409.5225"
"176187";"Snail5_Phago_20_Nuc_processed";"4273";"-1908.7878";"-24709.658"
"102347";"Snail3_NoBact_5_Nuc_processed";"7748";"7384.7827";"1887.6115"
"94113";"Snail3_Ice_12_Nuc_processed";"8256";"2282.4102";"5458.867"
"137494";"Snail4_Phago_19_Nuc_processed";"4927";"-3801.9126";"6312.2534"
"75980";"Snail2_Phago_17_Nuc_processed";"8740";"-3095.3738";"-31109.475"
"100613";"Snail3_NoBact_5_Nuc_processed";"6014";"3459.018";"8878.7705"
"49093";"Snail2_Ice_11_Nuc_processed";"704";"7874.4287";"-5323.099"
"120687";"Snail4_Ice_13_Nuc_processed";"7273";"-4280.8203";"12376.462"
"41995";"Snail2_EDTA_23_Nuc_processed";"3286";"6739.807";"-6025.0386"
"17556";"Snail1_Ice_10_Nuc_processed";"7956";"-2316.785";"-2064.1265"
"2883";"Snail1_EDTA_22_Nuc_processed";"2883";"-1801.5278";"-1071.8862"
"84065";"Snail3_EDTA_24_Nuc_processed";"7276";"-2847.0808";"1739.0247"
"64181";"Snail2_NoBact_4_Nuc_processed";"6562";"-5191.7246";"4071.6243"
"42222";"Snail2_EDTA_23_Nuc_processed";"3513";"-3342.312";"6327.1963"
