"ClusterID","EventID","File Name","Index in File","Event Name","Comment",":Area_Intensity_DHR",":Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02",":Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11",":Circularity_AdaptiveErode_BF",":Circularity_Morphology_DNA",":Contrast_AdaptiveErode_BF_Ch01",":Contrast_AdaptiveErode_BF_Ch06",":Diameter_AdaptiveErode_BF",":H.Energy.Mean_AdaptiveErode_BF_Ch01_5",":H.Energy.Mean_Intensity_DHR_Ch07_5",":H.Energy.Mean_Morphology_DNA_Ch11_5",":H.Entropy.Mean_AdaptiveErode_BF_Ch01_5",":H.Entropy.Mean_Intensity_Bac_Ch07_5",":H.Entropy.Mean_Morphology_DNA_Ch11_5",":Intensity_AdaptiveErode_BF_Ch02",":Intensity_AdaptiveErode_BF_Ch06",":Intensity_AdaptiveErode_BF_Ch07",":Intensity_AdaptiveErode_BF_Ch11",":Lobe.Count_Morphology_DNA_Ch11",":Max.Pixel_Intensity_Bac_Ch07",":Max.Pixel_Intensity_SSC_Ch06",":Std.Dev_AdaptiveErode_BF_Ch01","FDL-X","FDL-Y","MST-X","MST-Y"
27435,"0047908","Snail2_EDTA_23_Nuc_processed",9199,NA,NA,0,1.33149739978513,1.36127110184203,0.929546149205451,3.63985750741267,1.53707807450523,0.999126413822947,5.80235673644623,1.27316452727032,0,0.702347674587251,10.5646555175302,3.03089946149598,7.94203750803252,4.13605317156505,8.99737805072487,3.42206134590806,-0.0717912358536121,1.01924124806146,1.23870850848133,0,3.65028988200568,NA,NA,5.49876909620907,-0.261390233301459
27436,"0047909","Snail2_EDTA_23_Nuc_processed",9200,NA,NA,0,2.12123586374198,1.37979623001454,1.14664673801325,1.87492308195663,2.02644268235538,2.27153559944145,5.33017143914289,2.08867127855192,0,0.347116026503308,10.0494779216694,0,7.98726101411931,5.14179444470321,9.93715754671958,2.26569356422578,-1.43490053407396,4.07696499224584,0.904331755539629,1.32252174762767,2.9816729197431,NA,NA,3.96063779544612,1.34279240495332
27435,"0047910","Snail2_EDTA_23_Nuc_processed",9201,NA,NA,0,1.26960556989967,1.78055339977655,1.23228373952975,3.01219466451844,2.42272288406284,1.73635026871714,3.94477349028075,0.994582444538079,0,1.78307188825218,10.1190686785957,0,6.77633017200793,5.25644099850853,8.92144447147294,2.66750616324667,-1.08290958315391,1.01924124806146,1.12507963890905,0.745233464213429,3.37053731372303,NA,NA,5.49876909620907,-0.261390233301459
27436,"0047911","Snail2_EDTA_23_Nuc_processed",9202,NA,NA,0,1.23783458300446,2.16595053864176,0.946954300295228,1.42496032694401,1.43100696687988,0.892499177162546,5.43480857126693,1.2167780290981,0,0.707325766741174,10.7020761348078,0,8.18304947773822,4.19323815886686,9.22497176397711,3.54971299283354,-0.379712692122736,3.05772374418438,0.906921910940228,0,2.61353428718322,NA,NA,3.96063779544612,1.34279240495332
27435,"0047912","Snail2_EDTA_23_Nuc_processed",9203,NA,NA,0,0.997282062373928,1.4742838746225,1.09507819015179,2.73624789700083,1.24610143232923,0.493458386458322,5.18335026591103,2.18753778900019,0,0.98950566758082,8.90656205748017,0.913227414748503,7.33517118518739,3.86096127559085,8.31567787974291,3.37986775558149,-0.845997222063026,1.01924124806146,1.32141681618131,0,3.54668231744326,NA,NA,5.49876909620907,-0.261390233301459
27435,"0047913","Snail2_EDTA_23_Nuc_processed",9204,NA,NA,0,1.01791263875734,1.24742069101301,0.947412775981666,3.64282896030722,1.84968654215292,1.64334683079712,5.15105533416387,1.49774386345725,0,1.01799026725244,9.24498742645849,0.684920561061377,6.49016983518554,4.23771797553665,9.61306390993258,3.74832059244259,0.120732460022426,1.01924124806146,1.58785932139882,0.545238676011802,4.05283447036082,NA,NA,5.49876909620907,-0.261390233301459
27435,"0047914","Snail2_EDTA_23_Nuc_processed",9205,NA,NA,0,0.596636319375769,2.98394163858163,1.323141469593,2.93800675537992,2.38855158985611,0.948861339581349,3.68221660124657,1.68163502200182,0,2.6366533060238,9.77679528066598,0,4.82277922668904,4.0225380781303,8.51181174827663,4.07170967582984,-0.0367824818673657,1.01924124806146,2.9021204842194,0,2.97678995584358,NA,NA,5.49876909620907,-0.261390233301459
27445,"0047915","Snail2_EDTA_23_Nuc_processed",9206,NA,NA,0,0.864833761992451,0.923556766831347,1.27343305306346,2.23710541687413,0.751436512051162,0.675024012726639,5.11039918634,1.49145062818156,0,0.4359350303586,9.63976769985373,0,8.42888252622833,5.49341823491084,8.65915445430784,3.75642008000696,0.187831525426547,2.03848249612292,0,0,2.32270928103024,NA,NA,2.30677625005623,3.06711781943173
27445,"0047916","Snail2_EDTA_23_Nuc_processed",9207,NA,NA,0,0.462950134043669,2.80232127325109,1.42590354422188,2.30887658957255,1.26551493030619,1.89731286853745,3.01575379637741,2.40661584133271,0,2.3198142986385,9.78830596718812,0,4.87115146177972,3.42471277290598,8.38996600818267,2.92212273094582,-1.15295689072714,2.03848249612292,0,0.675892177513222,1.86858066726776,NA,NA,2.30677625005623,3.06711781943173
27445,"0047917","Snail2_EDTA_23_Nuc_processed",9208,NA,NA,0,0.914759756840297,2.4481096516612,0.727227133178963,1.72867019618111,0.647783984289564,0.952668448229277,5.78795850386977,2.17433705769666,0,1.75501397020663,9.76542984675061,0,6.7746635761125,3.65333297056365,9.4254488489994,2.50361111522621,-0.767882261993557,2.03848249612292,0,0,1.76323497434288,NA,NA,2.30677625005623,3.06711781943173
27439,"0047918","Snail2_EDTA_23_Nuc_processed",9209,NA,NA,0,0.646562263855997,1.25142369906508,1.11987603080043,5.01900504233878,0.538439446928447,0.872051456305838,5.71907334973378,2.66385164060801,0,0.401508878555209,9.20587253063588,0,8.8954136223178,4.94221676787208,8.91670654736682,3.22328628717459,-2.12796058205259,1.01924124806146,0,0.810735730266081,1.86960500876106,NA,NA,7.05354649182751,-1.69175101081167
27436,"0047919","Snail2_EDTA_23_Nuc_processed",9210,NA,NA,0,1.21967967578706,1.01050394172615,1.46875962339087,2.02181513160919,1.38432819125063,1.96033695246186,5.76991062040937,1.50291095402067,0,0.477289199557574,10.0434674154066,0,7.53031589060299,4.15736937355221,9.53625352101843,3.60247016346279,-0.0587796868211404,2.03848249612292,1.07754598133989,1.44294010721246,3.09251441438511,NA,NA,3.96063779544612,1.34279240495332
