"ClusterID","EventID","File Name","Index in File","Event Name","Comment",":Area_Intensity_DHR",":Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02",":Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11",":Circularity_AdaptiveErode_BF",":Circularity_Morphology_DNA",":Contrast_AdaptiveErode_BF_Ch01",":Contrast_AdaptiveErode_BF_Ch06",":Diameter_AdaptiveErode_BF",":H.Energy.Mean_AdaptiveErode_BF_Ch01_5",":H.Energy.Mean_Intensity_DHR_Ch07_5",":H.Energy.Mean_Morphology_DNA_Ch11_5",":H.Entropy.Mean_AdaptiveErode_BF_Ch01_5",":H.Entropy.Mean_Intensity_Bac_Ch07_5",":H.Entropy.Mean_Morphology_DNA_Ch11_5",":Intensity_AdaptiveErode_BF_Ch02",":Intensity_AdaptiveErode_BF_Ch06",":Intensity_AdaptiveErode_BF_Ch07",":Intensity_AdaptiveErode_BF_Ch11",":Lobe.Count_Morphology_DNA_Ch11",":Max.Pixel_Intensity_Bac_Ch07",":Max.Pixel_Intensity_SSC_Ch06",":Std.Dev_AdaptiveErode_BF_Ch01","FDL-X","FDL-Y","MST-X","MST-Y"
27439,"0161952","Snail5_NoBact_7_Nuc_processed",0,NA,NA,0,0.285114565618694,0.5387181745442,3.52571141054082,3.52863255108703,1.9637979629685,1.94352811610318,2.72506989865122,1.5259921533116,0,0.916375639431837,9.1475268110792,0,6.91860141186712,2.24082210555567,7.97839054985243,2.49184046368129,-0.809601410150046,1.01924124806146,0,0.363808564184656,2.09463567162055,NA,NA,7.05354649182751,-1.69175101081167
27428,"0161953","Snail5_NoBact_7_Nuc_processed",1,NA,NA,0,0.380840440037706,0.740632762514887,1.4455312059626,2.15822029932091,1.3633468727385,1.83434215617628,3.18398333811183,2.64016417423731,0,1.58627278485126,9.68632698596099,0,6.56626868870784,4.50826954051719,9.62282772994564,2.1253401786495,-0.71770324880714,2.03848249612292,0,1.04185829674204,2.13989186458048,NA,NA,10.1509405384732,-6.31124769217457
27445,"0161954","Snail5_NoBact_7_Nuc_processed",2,NA,NA,0,0.808305932334296,0.33941015999847,1.6736754602026,1.32828865047406,1.53786566994708,1.96777445896349,4.9402117562785,1.39923109708904,0,0.325380366606102,11.5189154318494,0,8.84623753563256,4.53366965389089,9.2647878053539,1.14312386716464,-1.4790470537371,2.03848249612292,0,0.61928417449196,2.87671748795606,NA,NA,2.30677625005623,3.06711781943173
27439,"0161955","Snail5_NoBact_7_Nuc_processed",3,NA,NA,0,0.427465492296589,1.0774363490884,0.904046908473995,3.43851892832377,1.00993608203257,0.677751997399562,3.33125935859883,1.10943620343349,0,1.41650118644414,10.1768846533512,0,7.17284934808105,3.92263928989342,7.17538333229447,2.63348375167614,-0.521330410989837,1.01924124806146,0,0,1.46007867496815,NA,NA,7.05354649182751,-1.69175101081167
27426,"0161956","Snail5_NoBact_7_Nuc_processed",4,NA,NA,0,0.587558714664215,0.445254713814568,1.618190650606,3.96339659733403,1.95897716541468,1.73532753377892,3.93418334143976,1.96512338969748,0,0.396465896111382,10.9737901661821,0,6.64068808470921,4.96046076729371,9.11487842528698,1.56231385404756,-0.369668513381462,1.01924124806146,0,0.445919732795874,2.75364950287859,NA,NA,2.99066957557763,3.64960668579441
27427,"0161957","Snail5_NoBact_7_Nuc_processed",5,NA,NA,0,0.740637692164336,2.60208250683314,2.2999990286811,2.2357827118037,3.5617739842636,1.34909554107093,3.17742520179158,1.41178462985785,0,1.99137978802671,10.1209942465752,0,4.84146344545735,3.08152017364806,8.22608139960256,2.22559878294663,1.0025061308964,1.01924124806146,0,0,3.51880534025029,NA,NA,0.817923598598514,3.67349111389651
27438,"0161958","Snail5_NoBact_7_Nuc_processed",6,NA,NA,0,0.886702172958863,1.15814632961887,0.694212830246694,0.577436139417963,1.28301110582159,1.39341713539776,4.98644204815351,2.78676273233276,0,0.565335463548935,9.34844534331814,0,9.15478319319655,4.20117244481014,9.25607128577071,1.61759692636233,1.21668451570112,4.07696499224584,0,0,1.62991586686292,"7871.4805","-3492.7576",2.92272331315312,6.1819824106205
27426,"0161959","Snail5_NoBact_7_Nuc_processed",7,NA,NA,0,0.976238874462852,0.22537354424944,3.25052489940071,6.32212405366977,2.1913110400381,4.5596642858834,4.61267358141092,1.33933171698916,0,0.264297101905485,10.3048048180442,0,7.7503904878288,4.22380634000477,10.5234745803297,1.37133678458366,0.813871524534501,1.01924124806146,0,6.4370448765912,2.6177596723447,"-1576.0208","-2314.7808",2.99066957557763,3.64960668579441
27439,"0161960","Snail5_NoBact_7_Nuc_processed",8,NA,NA,0,0.50957523667017,0.622407070157684,1.40586280609298,4.34622691442255,1.21956353437146,2.73902617438447,3.24883673860429,3.05169364513842,0,0.70874048694089,8.30105831251346,0,6.55266379662569,3.62843956392465,8.32036279411454,2.4244588289825,-0.578450109953838,1.01924124806146,0,0.68319553324958,1.36575851714197,NA,NA,7.05354649182751,-1.69175101081167
27440,"0161961","Snail5_NoBact_7_Nuc_processed",9,NA,NA,0,0.248392139656229,0.918436756532413,3.18166999646603,3.8549214683642,1.56652866049091,2.19497286610813,2.77813610209109,2.13996715574949,0,0.669858896509317,9.89836782876814,0,7.46550683657049,2.23292638728227,7.63178138651883,2.09563990145408,-0.360022375302176,1.01924124806146,0,0,1.42773540719552,"-3316.6587","9994.444",8.20689382977488,-3.42538545500969
