Cluster,Term,Count,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
27442,Snail3_EDTA_24_Nuc_processed,28,1.921025862,3.560012261,1.459761482,1.277177351,2.268531605,1.164752906,1.475968234,5.069416853,1.899221821,5.28186,0.743098357,10.45743579,0,7.555601169,6.001025876,9.186378528,2.231385107,-1.194785748,2.038482496,0.850056703,0.402867715,2.678646425
27442,Snail4_NoBact_6_Nuc_processed,137,1.994911509,2.989370316,1.318821562,1.424031395,2.777368179,1.317082163,1.720322204,4.418659611,1.950016505,5.657103521,1.452754021,9.720760398,0,6.595036083,5.929120824,9.279627666,2.454728323,0.096338009,1.019241248,0,0.578645498,2.402772594
27442,Snail2_Ice_11_Nuc_processed,95,4.913393125,2.306911051,1.836780422,1.410469404,2.70612353,2.290737926,1.958127219,4.479609661,1.643021732,1.394179462,1.209107065,10.19077764,0,6.934044163,6.319780636,9.408111084,2.558422176,1.065119793,1.019241248,1.15557709,0.726105666,3.339865345
27442,Snail5_Phago_20_Nuc_processed,328,2.401282407,2.981118287,1.160939063,1.387207033,2.607995625,1.309377643,1.763983726,4.59454907,1.719898324,4.267202743,1.103791803,10.14149817,0,6.939353306,6.122342293,9.191097111,2.800223628,-0.300456942,2.038482496,0.977650514,0.508057818,2.382444425
27442,Snail4_Phago_19_Nuc_processed,305,2.179625467,3.080970277,1.049136656,1.363040013,2.804093243,1.298573449,1.53417643,4.240394694,1.797190009,4.525682884,1.460999843,9.956174483,0,6.536894767,6.024391918,8.956898671,2.712088921,-0.163782838,1.019241248,0,0.455094419,2.263155544
27442,Snail5_EDTA_26_Nuc_processed,57,1.773254727,3.346692101,2.109164788,1.460879888,2.221801769,1.813804295,1.209311174,4.653195631,1.433363693,6.33595597,0.955107451,10.31500046,0,6.747187082,5.950508195,8.960918099,3.192948515,-0.687732787,2.038482496,1.230186532,0.378527614,3.104978708
27442,Snail2_EDTA_23_Nuc_processed,36,1.699369081,3.704838907,2.127503916,1.150962819,2.576785842,1.450784855,1.07996585,4.957072947,1.816518516,9.192793222,1.267196181,10.21738294,0,6.994988637,5.864306683,9.009267991,3.191743241,-0.958422813,2.038482496,1.123329391,0,2.87081319
27442,Snail1_EDTA_22_Nuc_processed,41,3.989823017,2.679911872,2.678230842,1.259368713,2.411994071,2.021275036,1.552934931,4.70224872,1.397594224,2.61483894,1.564248965,10.18185975,0,6.60612822,6.293089252,9.174550194,3.510856367,0.092132238,1.019241248,1.392760232,0.536744316,3.273822107
27442,Snail1_Phago_16_Nuc_processed,391,2.401282407,2.560667342,1.107411682,1.239732753,2.980455486,1.231356682,1.717343391,4.728789847,2.019522931,4.347020253,1.140057923,9.842129437,0,6.826406572,6.168249753,9.270368154,3.210908686,-0.296674838,1.019241248,0,0.490014399,2.121680618
27442,Snail3_NoBact_5_Nuc_processed,97,1.773254727,3.476252524,1.655904422,1.394576979,2.458245155,1.467990049,2.036069315,4.706682251,1.822202884,5.657103521,1.135975289,9.8971025,0,6.878255846,6.015508995,9.701338728,2.18642341,0.225038326,1.019241248,0,0.689232322,2.62116957
27442,Snail4_EDTA_25_Nuc_processed,25,1.514654964,3.656150747,1.326641214,0.915224864,2.700783373,1.832823774,1.023774175,4.820534894,1.728789406,5.028536501,0.998609398,10.18387853,0,7.143357641,5.961915276,8.761262664,2.780180819,-0.787099973,1.019241248,1.038951488,0,3.008532135
